id,city_slug,region_slug,field_type_slug,field_type_name,date,value,national_avg
65180,portland,western,average-processing-time,Average Processing Time,Wed 01 Sep 2010 00:00:00 GMT-0800,97.3,116.9
65179,portland,western,average-processing-time,Average Processing Time,Sun 01 Aug 2010 00:00:00 GMT-0800,105.2,120.2
65178,portland,western,average-processing-time,Average Processing Time,Thu 01 Jul 2010 00:00:00 GMT-0800,106.8,121.6
65177,portland,western,average-processing-time,Average Processing Time,Tue 01 Jun 2010 00:00:00 GMT-0800,105.7,120.0
65176,portland,western,average-processing-time,Average Processing Time,Sat 01 May 2010 00:00:00 GMT-0800,102.3,118.2
65175,portland,western,average-processing-time,Average Processing Time,Thu 01 Apr 2010 00:00:00 GMT-0800,103.9,117.8
65174,portland,western,average-processing-time,Average Processing Time,Mon 01 Mar 2010 00:00:00 GMT-0800,103.9,119.6
65173,portland,western,average-processing-time,Average Processing Time,Mon 01 Feb 2010 00:00:00 GMT-0800,108.9,121.9
65172,portland,western,average-processing-time,Average Processing Time,Fri 01 Jan 2010 00:00:00 GMT-0800,112.7,122.6
65171,portland,western,average-processing-time,Average Processing Time,Tue 01 Dec 2009 00:00:00 GMT-0800,114.1,119.9
65170,portland,western,average-processing-time,Average Processing Time,Sun 01 Nov 2009 00:00:00 GMT-0800,118.1,117.9
65169,portland,western,average-processing-time,Average Processing Time,Thu 01 Oct 2009 00:00:00 GMT-0800,118.5,116.3
