id,city_slug,region_slug,field_type_slug,field_type_name,date,value,national_avg
65247,buffalo,eastern,average-processing-time,Average Processing Time,Wed 01 Dec 2010 00:00:00 GMT-0800,145.145568268497,126.718580462919
65246,buffalo,eastern,average-processing-time,Average Processing Time,Mon 01 Nov 2010 00:00:00 GMT-0800,132.883712004912,112.55181640959
65245,buffalo,eastern,average-processing-time,Average Processing Time,Fri 01 Oct 2010 00:00:00 GMT-0800,119.9,95.6
64568,buffalo,eastern,average-processing-time,Average Processing Time,Wed 01 Sep 2010 00:00:00 GMT-0800,130.9,116.9
64567,buffalo,eastern,average-processing-time,Average Processing Time,Sun 01 Aug 2010 00:00:00 GMT-0800,127.2,120.2
64566,buffalo,eastern,average-processing-time,Average Processing Time,Thu 01 Jul 2010 00:00:00 GMT-0800,129.2,121.6
64565,buffalo,eastern,average-processing-time,Average Processing Time,Tue 01 Jun 2010 00:00:00 GMT-0800,127.8,120.0
64564,buffalo,eastern,average-processing-time,Average Processing Time,Sat 01 May 2010 00:00:00 GMT-0800,125.6,118.2
64563,buffalo,eastern,average-processing-time,Average Processing Time,Thu 01 Apr 2010 00:00:00 GMT-0800,128.6,117.8
64562,buffalo,eastern,average-processing-time,Average Processing Time,Mon 01 Mar 2010 00:00:00 GMT-0800,133.3,119.6
64561,buffalo,eastern,average-processing-time,Average Processing Time,Mon 01 Feb 2010 00:00:00 GMT-0800,138.6,121.9
64560,buffalo,eastern,average-processing-time,Average Processing Time,Fri 01 Jan 2010 00:00:00 GMT-0800,139.2,122.6
64559,buffalo,eastern,average-processing-time,Average Processing Time,Tue 01 Dec 2009 00:00:00 GMT-0800,136.9,119.9
64558,buffalo,eastern,average-processing-time,Average Processing Time,Sun 01 Nov 2009 00:00:00 GMT-0800,133.9,117.9
64557,buffalo,eastern,average-processing-time,Average Processing Time,Thu 01 Oct 2009 00:00:00 GMT-0800,130.8,116.3
